Site,Tidal height,Length (mm),Dy (g),Time
San Diego,Subtidal,10,0.002,1
San Diego,Subtidal,13,0.008,1
San Diego,Subtidal,10,0.0002,1
San Diego,Subtidal,19,0.044,1
San Diego,Subtidal,17,0.013,1
San Diego,Subtidal,35,0.126,1
San Diego,Subtidal,58,0.386,1
San Diego,Subtidal,39,0.165,1
San Diego,Subtidal,41,0.264,1
San Diego,Subtidal,37,0.103,1
San Diego,Subtidal,29,0.038,1
San Diego,Subtidal,40,0.112,1
San Diego,Subtidal,35,0.151,1
San Diego,Subtidal,33,0.061,1
San Diego,Subtidal,25,0.063,1
San Diego,Subtidal,27,0.025,1
San Diego,Subtidal,18,0.011,1
San Diego,Subtidal,20,0.015,1
San Diego,Subtidal,11,0.006,1
San Diego,Subtidal,26,0.053,1
San Diego,Subtidal,22,0.031,1
San Diego,Subtidal,24,0.078,1
San Diego,Subtidal,21,0.057,1
San Diego,Subtidal,25,0.087,1
San Diego,Subtidal,28,0.052,1
San Diego,Subtidal,25,0.017,1
San Diego,Subtidal,16,0.011,1
San Diego,Subtidal,21,0.12,1
San Diego,Subtidal,22,0.008,1
San Diego,Subtidal,38,0.032,1
San Diego,Subtidal,35,0.063,1
San Diego,Subtidal,35,0.06,1
San Diego,Subtidal,25,0.02,1
San Diego,Subtidal,17,0.012,1
San Diego,Subtidal,24,0.013,1
San Diego,Subtidal,32,0.039,1
San Diego,Subtidal,33,0.034,1
San Diego,Subtidal,25,0.009,1
San Diego,Subtidal,15,0.004,1
San Diego,Subtidal,25,0.025,1
San Diego,Subtidal,32,0.028,1
San Diego,Subtidal,31,0.072,1
San Diego,Subtidal,32,0.021,1
San Diego,low,41,0.057,2
San Diego,low,39,0.086,2
San Diego,low,28,0.058,2
San Diego,low,28,0.099,2
San Diego,low,24,0.061,2
San Diego,low,19,0.021,2
San Diego,low,38,0.065,2
San Diego,low,23,0.034,2
San Diego,low,25,0.033,2
San Diego,low,19,0.025,2
San Diego,low,41,0.068,2
San Diego,low,32,0.081,2
San Diego,low,21,0.034,2
San Diego,low,12,0.011,2
San Diego,low,17,0.021,2
San Diego,low,21,0.033,2
San Diego,low,18,0.031,2
San Diego,low,29,0.102,2
San Diego,low,40,0.129,2
San Diego,low,32,0.081,2
San Diego,low,32,0.087,2
San Diego,low,25,0.013,2
San Diego,low,18,0.013,2
San Diego,low,22,0.055,2
San Diego,low,40,0.137,2
San Diego,low,40,0.054,2
San Diego,low,30,0.087,2
San Diego,low,34,0.151,2
San Diego,low,22,0.084,2
San Diego,low,21,0.069,2
San Diego,low,23,0.036,2
San Diego,low,19,0.075,2
San Diego,low,13,0.005,2
San Diego,low,30,0.07,2
San Diego,low,6,0.007,2
San Diego,low,44,0.135,2
San Diego,low,41,0.141,2
San Diego,low,31,0.112,2
San Diego,low,32,0.098,2
San Diego,low,29,0.1,2
San Diego,low,37,0.169,2
San Diego,low,22,0.047,2
San Diego,low,21,0.02,2
San Diego,low,8,0.02,2
San Diego,low,9,0.013,2
San Diego,low,26,0.047,2
San Diego,low,29,0.031,2
San Diego,low,25,0.056,2
San Diego,low,27,0.127,2
San Diego,low,31,0.043,2
San Diego,low,19,0.018,2
San Diego,low,29,0.093,2
San Diego,Subtidal,28,0.072,2
San Diego,Subtidal,22,0.045,2
San Diego,Subtidal,21,0.055,2
San Diego,Subtidal,20,0.019,2
San Diego,Subtidal,30,0.104,2
San Diego,Subtidal,30,0.186,2
San Diego,Subtidal,30,0.1,2
San Diego,Subtidal,39,0.19,2
San Diego,Subtidal,35,0.144,2
San Diego,Subtidal,20,0.038,2
San Diego,Subtidal,36,0.124,2
San Diego,Subtidal,13,0.005,2
San Diego,Subtidal,17,0.02,2
San Diego,Subtidal,31,0.176,2
San Diego,Subtidal,29,0.114,2
San Diego,Subtidal,33,0.156,2
San Diego,Subtidal,26,0.079,2
San Diego,Subtidal,40,0.237,2
San Diego,Subtidal,43,0.259,2
San Diego,Subtidal,30,0.064,2
San Diego,Subtidal,33,0.121,2
San Diego,Subtidal,28,0.099,2
San Diego,Subtidal,35,0.1,2
San Diego,Subtidal,31,0.158,2
San Diego,Subtidal,13,0.246,2
San Diego,Subtidal,33,0.103,2
San Diego,Subtidal,51,0.116,2
San Diego,Subtidal,37,0.293,2
San Diego,Subtidal,45,0.378,2
San Diego,Subtidal,42,0.071,2
San Diego,Subtidal,58,0.011,2
San Diego,Subtidal,32,0.16,2
San Diego,Subtidal,35,0.186,2
San Diego,Subtidal,37,0.174,2
San Diego,Subtidal,25,0.081,2
San Diego,Subtidal,42,0.216,2
San Diego,Subtidal,28,0.155,2
San Diego,Subtidal,31,0.062,2
San Diego,Subtidal,18,0.012,2
San Diego,Subtidal,31,0.079,2
San Diego,Subtidal,29,0.06,2
San Diego,Subtidal,49,0.127,2
San Diego,Subtidal,45,0.2,2
San Diego,Subtidal,34,0.164,2
San Diego,Subtidal,38,0.134,2
San Diego,Subtidal,15,0.015,2
San Diego,Subtidal,11,0.01,2
San Diego,Subtidal,15,0.018,2
San Diego,Subtidal,33,0.077,2
San Diego,Subtidal,42,0.382,2
San Diego,Subtidal,45,0.216,2
San Diego,Subtidal,34,0.153,2
San Diego,Subtidal,33,0.142,2
San Diego,Subtidal,22,0.082,2
San Diego,Subtidal,40,0.154,2
San Diego,Subtidal,15,0.014,2
San Diego,Subtidal,22,0.08,2
San Diego,Subtidal,17,0.022,2
San Diego,Subtidal,29,0.141,2
San Diego,Subtidal,39,0.14,2
San Diego,Subtidal,49,0.288,2
San Diego,Subtidal,45,0.171,2
San Diego,Subtidal,22,0.014,2
San Diego,Subtidal,41,0.089,2
San Diego,Subtidal,30,0.059,2
San Diego,Subtidal,29,0.059,2
San Diego,Subtidal,26,0.07,2
San Diego,Subtidal,17,0.014,2
San Diego,Subtidal,45,0.111,2
San Diego,Subtidal,44,0.239,2
San Diego,Subtidal,8,0.007,2
San Diego,Subtidal,10,0.002,2
San Diego,Subtidal,15,0.009,2
San Diego,Subtidal,8,0.012,2
San Diego,Subtidal,13,0.007,2
San Diego,Subtidal,21,0.037,2
San Diego,Subtidal,42,0.201,2
San Diego,Subtidal,33,0.128,2
San Diego,Subtidal,17,0.148,2
San Diego,Subtidal,38,0.066,2
San Diego,Subtidal,21,0.036,2
San Diego,Subtidal,27,0.087,2
San Diego,Subtidal,19,0.032,2
San Diego,Subtidal,19,0.015,2
San Diego,Subtidal,30,0.039,2
San Diego,Subtidal,17,0.01,2
San Diego,Subtidal,53,0.206,2
San Diego,Subtidal,47,0.207,2
San Diego,Subtidal,35,0.113,2
San Diego,Subtidal,38,0.247,2
San Diego,Subtidal,45,0.178,2
San Diego,Subtidal,34,0.099,2
San Diego,Subtidal,31,0.089,2
San Diego,Subtidal,40,0.196,2
San Diego,Subtidal,27,0.053,2
San Diego,Subtidal,32,0.152,2
San Diego,Subtidal,29,0.126,2
San Diego,Subtidal,28,0.044,2
San Diego,Subtidal,28,0.028,2
San Diego,Subtidal,47,0.172,2
San Diego,Subtidal,49,0.0124,2
San Diego,Subtidal,55,0.301,2
San Diego,Subtidal,22,0.029,2
San Diego,Subtidal,32,0.05,2
San Diego,Subtidal,24,0.07,2
San Diego,Subtidal,34,0.19,2
San Diego,Subtidal,29,0.069,2
San Diego,Subtidal,26,0.1,2
San Diego,Subtidal,25,0.078,2
San Diego,Subtidal,33,0.076,2
San Diego,Subtidal,28,0.08,2
San Diego,Subtidal,42,0.132,2
San Diego,Subtidal,20,0.013,2
San Diego,Subtidal,28,0.014,2
San Diego,Subtidal,32,0.052,2
San Diego,Subtidal,26,0.025,2
San Diego,Subtidal,19,0.021,2
San Diego,Subtidal,40,0.19,2
San Diego,Subtidal,15,0.06,2
San Diego,Subtidal,24,0.141,2
San Diego,Subtidal,29,0.046,2
San Diego,Subtidal,30,0.119,2
San Diego,Subtidal,39,0.135,2
San Diego,Subtidal,28,0.161,2
San Diego,Subtidal,18,0.021,2
San Diego,Subtidal,31,0.151,2
San Diego,Subtidal,40,0.194,2
San Diego,Subtidal,32,0.088,2
San Diego,Subtidal,16,0.021,2
San Diego,Subtidal,34,0.179,2
San Diego,Subtidal,32,0.15,2
San Diego,Subtidal,35,0.164,2
San Diego,Subtidal,33,0.184,2
San Diego,Subtidal,11,0.004,2
San Diego,Subtidal,25,0.084,2
San Diego,Subtidal,41,0.151,2
San Diego,Subtidal,33,0.072,2
San Diego,Subtidal,33,0.195,2
San Diego,Subtidal,15,0.013,2
San Diego,Subtidal,28,0.1,2
San Diego,Subtidal,41,0.191,2
San Diego,Subtidal,51,0.382,2
San Diego,Subtidal,44,0.113,2
San Diego,Subtidal,9,0.004,2
San Diego,Subtidal,35,0.096,3
San Diego,Subtidal,37,0.115,3
San Diego,Subtidal,30,0.083,3
San Diego,Subtidal,23,0.031,3
San Diego,Subtidal,14,0.021,3
San Diego,Subtidal,42,0.138,3
San Diego,Subtidal,28,0.158,3
San Diego,Subtidal,40,0.14,3
San Diego,Subtidal,29,0.131,3
San Diego,Subtidal,38,0.11,3
San Diego,Subtidal,21,0.024,3
San Diego,Subtidal,24,0.036,3
San Diego,Subtidal,32,0.06,3
San Diego,Subtidal,25,0.055,3
San Diego,Subtidal,30,0.121,3
San Diego,Subtidal,46,0.15,3
San Diego,Subtidal,33,0.174,3
San Diego,Subtidal,33,0.111,3
San Diego,Subtidal,35,0.207,3
San Diego,Subtidal,27,0.034,3
San Diego,Subtidal,21,0.019,3
San Diego,Subtidal,17,0.012,3
San Diego,Subtidal,20,0.049,3
San Diego,Subtidal,22,0.024,3
San Diego,Subtidal,24,0.315,3
San Diego,Subtidal,43,1.069,3
San Diego,Subtidal,34,0.065,3
San Diego,Subtidal,46,0.107,3
San Diego,Subtidal,32,0.034,3
San Diego,Subtidal,26,0.056,3
San Diego,Subtidal,39,0.064,3
San Diego,Subtidal,34,0.057,3
San Diego,Subtidal,34,0.059,3
San Diego,Subtidal,38,0.072,3
San Diego,Subtidal,19,0.084,3
San Diego,Subtidal,32,0.056,3
San Diego,Subtidal,42,0.083,3
San Diego,Subtidal,34,0.051,3
San Diego,Subtidal,44,0.175,3
San Diego,Subtidal,40,0.147,3
San Diego,Subtidal,29,0.041,3
San Diego,Subtidal,38,0.695,3
San Diego,Subtidal,46,0.182,3
San Diego,Subtidal,44,0.137,3
San Diego,Subtidal,25,0.026,3
San Diego,Subtidal,46,0.059,3
San Diego,Subtidal,35,0.053,3
San Diego,Subtidal,51,0.217,3
San Diego,Subtidal,36,0.169,3
San Diego,Subtidal,46,0.145,3
San Diego,Subtidal,38,0.13,3
San Diego,Subtidal,40,0.137,3
San Diego,Subtidal,40,0.129,3
San Diego,Subtidal,44,0.143,3
San Diego,Subtidal,32,0.06,3
San Diego,Subtidal,42,0.152,3
San Diego,Subtidal,30,0.083,3
San Diego,Subtidal,45,0.049,3
San Diego,Subtidal,36,0.78,3
San Diego,Subtidal,45,0.097,3
San Diego,Subtidal,30,0.094,3
San Diego,Subtidal,35,0.116,3
San Diego,Subtidal,22,0.03,3
San Diego,Subtidal,21,0.017,3
San Diego,Subtidal,18,0.004,3
San Diego,Subtidal,30,0.021,3
San Diego,Subtidal,61,0.141,3
San Diego,Subtidal,36,0.125,3
San Diego,Subtidal,34,0.071,3
San Diego,Subtidal,35,0.102,3
San Diego,Subtidal,52,0.207,3
San Diego,Subtidal,39,0.048,3
San Diego,Subtidal,15,0.02,3
San Diego,Subtidal,38,0.057,3
San Diego,Subtidal,45,0.076,3
San Diego,Subtidal,33,0.048,3
San Diego,Subtidal,23,0.041,3
San Diego,Subtidal,33,0.051,3
San Diego,Subtidal,25,0.022,3
San Diego,Subtidal,41,0.096,3
San Diego,Subtidal,32,0.058,3
San Diego,Subtidal,32,0.06,3
San Diego,Subtidal,34,0.074,3
San Diego,Subtidal,31,0.066,3
San Diego,Subtidal,31,0.12,3
San Diego,Subtidal,22,0.024,3
San Diego,Subtidal,27,0.042,3
San Diego,Subtidal,35,0.124,3
San Diego,Subtidal,32,0.152,3
San Diego,Subtidal,20,0.057,3
San Diego,Subtidal,36,0.21,3
San Diego,Subtidal,24,0.083,3
San Diego,Subtidal,22,0.049,3
San Diego,Subtidal,17,0.005,4
San Diego,Subtidal,28,0.024,4
San Diego,Subtidal,19,0.005,4
San Diego,Subtidal,24,0.02,4
San Diego,Subtidal,43,0.101,4
San Diego,Subtidal,30,0.232,4
San Diego,Subtidal,24,0.019,4
San Diego,Subtidal,41,0.079,4
San Diego,Subtidal,22,0.003,4
San Diego,Subtidal,25,0.015,4
San Diego,Subtidal,41,0.069,4
San Diego,Subtidal,33,0.016,4
San Diego,Subtidal,50,0.085,4
San Diego,Subtidal,26,0.022,4
San Diego,Subtidal,33,0.078,4
San Diego,Subtidal,29,0.058,4
San Diego,Subtidal,36,0.073,4
San Diego,Subtidal,30,0.095,4
San Diego,Subtidal,40,0.063,4
San Diego,Subtidal,40,0.105,4
San Diego,Subtidal,29,0.031,4
San Diego,Subtidal,37,0.037,4
San Diego,Subtidal,27,0.132,4
San Diego,Subtidal,51,0.183,4
San Diego,Subtidal,45,0.162,4
San Diego,Subtidal,42,0.116,4
San Diego,Subtidal,42,0.167,4
San Diego,Subtidal,35,0.109,4
San Diego,Subtidal,21,0.011,4
San Diego,Subtidal,29,0.025,4
San Diego,Subtidal,31,0.05,4
San Diego,Subtidal,43,0.075,4
San Diego,Subtidal,35,0.068,4
San Diego,Subtidal,35,0.102,4
San Diego,Subtidal,36,0.101,4
San Diego,Subtidal,45,0.158,4
San Diego,Subtidal,26,0.049,4
San Diego,Subtidal,30,0.075,4
San Diego,Subtidal,24,0.038,4
San Diego,Subtidal,34,0.067,4
San Diego,Subtidal,42,0.127,4
San Diego,Subtidal,44,0.075,4
San Diego,Subtidal,32,0.072,4
San Diego,Subtidal,38,0.067,4
San Diego,Subtidal,26,0.015,4
San Diego,Subtidal,33,0.014,4
San Diego,Subtidal,31,0.054,4
San Diego,Subtidal,19,0.009,4
San Diego,Subtidal,36,0.032,4
San Diego,Subtidal,44,0.046,4
San Diego,Subtidal,27,0.007,4
San Diego,Subtidal,40,0.036,4
San Diego,Subtidal,24,0.027,4
San Diego,Subtidal,36,0.038,4
San Diego,Subtidal,35,0.027,4
San Diego,Subtidal,37,0.041,4
San Diego,Subtidal,19,0.021,4
San Diego,Subtidal,36,0.05,4
